Число валидных длин последовательностей: 5

Длина вектора: 270 элементов
(0.284683, 0.101516)
(0.149203, 0.282053)
(-0.797906, 0.589834)
(-0.418741, -0.15623)
(-0.645298, -0.973801)
(0.0560993, 0.0933573)
(0.762486, 0.0433635)
(0.796914, -0.0801789)
(0.533984, -0.371276)
(0.166941, 0.40458)
(0.0121406, -0.239891)
(-0.410288, 0.841934)
(0.154051, -0.268221)
(0.855947, 0.544545)
(-0.182203, -0.199336)
(-0.926064, 0.739858)
(-0.284738, -0.440566)
(-0.121536, -0.840118)
(0.655531, 0.381405)
(0.713505, -0.462522)
(0.154606, 0.0212477)
(0.616379, 0.27947)
(0.716191, -0.0178907)
(0.757685, 0.717316)
(0.22501, -0.285875)
(-0.452642, 0.904958)
(-0.814545, 0.730334)
(0.19539, -0.0126791)
(-0.976809, 0.669316)
(-0.386391, -0.527622)
(0.519558, -0.481649)
(-0.25334, 0.878252)
(-0.710389, -0.100189)
(0.158742, -0.778368)
(-0.253313, -0.517943)
(-0.511634, -0.890879)
(0.843834, 0.704035)
(-0.910723, -0.682319)
(0.212781, 0.595925)
(0.421866, 0.317836)
(-0.922905, 0.20953)
(-0.448826, -0.176518)
(-0.170789, -0.0340151)
(0.42562, 0.407713)
(0.384077, 0.994501)
(-0.724145, 0.752524)
(-0.757021, -0.197593)
(0.770168, -0.853831)
(0.136404, -0.0959738)
(-0.212197, 0.127909)
(0.889355, -0.0250251)
(-0.875142, 0.77969)
(0.876532, 0.477737)
(-0.399508, -0.991213)
(0.163799, 0.715986)
(0.931089, 0.995628)
(-0.114125, 0.205349)
(0.671336, -0.442619)
(0.76849, 0.342008)
(0.453959, 0.884311)
(-0.564084, 0.770712)
(0.0963622, -0.501015)
(0.965373, 0.395796)
(0.908362, 0.367595)
(0.721528, 0.815799)
(-0.251296, -0.710307)
(-0.775832, 0.260462)
(-0.812966, -0.894154)
(0.669626, 0.593066)
(-0.346386, 0.892546)
(-0.232024, 0.793235)
(0.0193213, 0.610334)
(0.0455963, -0.397118)
(0.445307, 0.898841)
(0.881698, 0.935515)
(0.289667, -0.948697)
(0.229277, -0.923806)
(-0.62993, 0.0849714)
(-0.239798, -0.904056)
(-0.67142, 0.37068)
(-0.138754, -0.856059)
(-0.836826, 0.248176)
(0.444534, -0.621329)
(-0.327366, -0.805872)
(0.0773926, 0.708022)
(-0.0967262, -0.454719)
(-0.192576, 0.97034)
(-0.93096, -0.294146)
(-0.213377, 0.951607)
(-0.745973, -0.542826)
(-0.461262, 0.727311)
(-0.644548, 0.712721)
(-0.137342, 0.539345)
(-0.897355, -0.947285)
(-0.272372, -0.542653)
(0.35887, -0.769889)
(0.175278, 0.153592)
(0.892868, 0.470051)
(-0.378801, -0.529716)
(-0.0582675, 0.536441)
(0.922334, -0.45819)
(-0.386287, -0.903368)
(-0.339827, 0.82956)
(0.0320172, -0.16977)
(-0.63087, 0.891605)
(0.138407, -0.250415)
(0.0783237, 0.867421)
(-0.231727, -0.653577)
(-0.855425, -0.487298)
(0.699081, 0.800004)
(0.126935, 0.453566)
(-0.0350677, 0.423636)
(-0.981593, -0.153184)
(-0.607412, -0.298305)
(-0.922573, 0.685193)
(-0.162732, 0.736549)
(0.457028, -0.0439606)
(0.184088, 0.448175)
(-0.308648, 0.742197)
(-0.803363, -0.801416)
(0.609991, 0.787239)
(0.483999, 0.577754)
(-0.979531, -0.146431)
(0.849353, -0.189505)
(-0.301631, 0.559931)
(0.523741, -0.725577)
(0.602423, 0.569168)
(0.70898, -0.931241)
(-0.997862, -0.594342)
(0.50258, 0.304342)
(-0.672105, -0.659277)
(0.463241, 0.70211)
(-0.44971, -0.441568)
(0.601247, -0.69444)
(0.243116, 0.471565)
(-0.31536, -0.925989)
(0.461737, -0.323499)
(0.723004, 0.918968)
(-0.65134, 0.629943)
(0.922609, -0.191458)
(-0.493283, -0.418201)
(-0.50701, -0.44003)
(-0.2421, 0.352533)
(0.238423, -0.136428)
(-0.440299, 0.452893)
(-0.247766, 0.546854)
(-0.69868, -0.671229)
(-0.832456, 0.568101)
(0.26989, -0.803493)
(0.676283, -0.615042)
(0.660532, -0.368364)
(-0.933376, 0.937936)
(0.459514, 0.480844)
(0.226026, -0.428376)
(0.762286, 0.750302)
(0.473859, 0.82353)
(0.432742, 0.17912)
(0.35539, -0.0893373)
(-0.999474, -0.941892)
(0.0833702, 0.00433949)
(-0.118219, 0.773474)
(-0.844334, 0.715556)
(-0.026394, -0.25743)
(0.802109, -0.953814)
(0.361654, -0.0275309)
(-0.908733, 0.0987069)
(-0.447316, 0.149108)
(0.35667, -0.260793)
(0.604598, -0.646794)
(-0.505242, -0.611763)
(-0.155326, 0.703877)

Длина вектора: 240 элементов
(0.189728, 0.291148)
(0.127536, 0.596942)
(-0.093478, 0.203876)
(0.158484, 0.794711)
(0.555694, 0.739085)
(-0.325539, 0.791419)
(0.0773742, -0.185101)
(0.773063, 0.862342)
(-0.925917, -0.809143)
(-0.503177, -0.76197)
(0.828805, 0.126983)
(-0.287969, 0.29365)
(0.865008, 0.626337)
(0.633263, 0.831787)
(0.579054, 0.252988)
(0.104204, 0.434145)
(0.954673, -0.267969)
(0.547977, 0.107025)
(-0.344526, 0.0291289)
(-0.346887, 0.780434)
(0.613498, 0.343276)
(0.329811, 0.477808)
(-0.318886, -0.795027)
(0.356509, -0.632259)
(-0.370377, -0.526375)
(0.241112, 0.273132)
(-0.113724, 0.904487)
(0.186869, 0.357098)
(-0.114048, 0.743162)
(0.833419, -0.476623)
(0.603765, -0.681607)
(-0.796643, 0.635608)
(0.358682, 0.00993629)
(-0.480558, -0.105614)
(-0.410521, -0.577878)
(-0.936448, -0.869224)
(0.132226, 0.220698)
(-0.956026, -0.491991)
(0.978611, -0.213453)
(-0.986779, 0.214978)
(-0.546501, -0.702372)
(0.29941, -0.241957)
(-0.579373, 0.467514)
(-0.926668, -0.256294)
(0.817815, 0.047804)
(-0.55676, 0.392167)
(0.44215, -0.643958)
(-0.195361, -0.583799)
(0.119367, -0.0323528)
(0.0821245, 0.842196)
(-0.276043, 0.4195)
(-0.344627, 0.86682)
(0.810556, 0.823148)
(0.924149, -0.476592)
(-0.712176, 0.00195483)
(-0.171523, 0.0131437)
(-0.672112, 0.297753)
(0.916707, 0.429853)
(0.139329, 0.43659)
(0.604311, -0.67391)
(-0.526084, -0.541243)
(0.769976, -0.0543708)
(0.885822, 0.343769)
(-0.704285, -0.146111)
(-0.37464, -0.0961894)
(-0.239179, 0.617227)
(-0.869773, -0.427812)
(0.104622, 0.419056)
(-0.943017, 0.224899)
(0.234442, 0.564183)
(0.433322, -0.64682)
(0.912397, -0.734737)
(-0.589521, 0.147915)
(-0.104553, 0.821752)
(0.622695, -0.523684)
(0.472011, -0.307399)
(-0.0910597, -0.193704)
(-0.370618, -0.545829)
(-0.881605, 0.467063)
(-0.501407, -0.302089)
(0.917382, -0.741404)
(0.49607, 0.0385469)
(-0.818424, -0.648488)
(0.455195, 0.695031)
(0.531952, -0.403153)
(-0.127738, 0.0763138)
(0.731961, -0.403123)
(-0.243585, -0.74211)
(-0.899736, -0.701842)
(0.438799, -0.90352)
(0.865781, 0.528793)
(0.142671, -0.226609)
(0.104358, 0.126474)
(0.168518, 0.464452)
(-0.840944, -0.0898854)
(0.321837, 0.891173)
(0.609454, -0.306748)
(-0.048829, 0.657869)
(0.319039, 0.938262)
(-0.20594, 0.0249972)
(0.637757, -0.574632)
(0.100444, -0.350869)
(0.828855, 0.458788)
(0.221165, 0.132137)
(-0.290835, 0.845906)
(-0.301958, -0.504909)
(0.42443, 0.941189)
(-0.477269, 0.518667)
(-0.719725, 0.0194348)
(-0.4227, -0.904227)
(-0.703741, 0.615424)
(-0.513633, -0.892591)
(0.426939, -0.667805)
(-0.924864, -0.306631)
(-0.0982839, -0.479017)
(-0.0240743, -0.467686)
(0.434448, 0.0320299)
(-0.640413, 0.768195)
(-0.873532, 0.310629)
(-0.2952, -0.00151963)
(-0.856095, -0.809864)
(0.187451, -0.515244)
(-0.617433, 0.166017)
(-0.159772, -0.135372)
(-0.683085, -0.779921)
(0.904719, 0.529781)
(0.407447, 0.273643)
(-0.721715, -0.306725)
(0.909449, 0.844629)
(0.313646, -0.655616)
(0.40244, -0.0834302)
(-0.0953558, 0.40945)
(0.740948, -0.977743)
(0.405903, 0.296939)
(0.141574, 0.910583)
(0.293174, 0.305125)
(-0.950637, -0.479546)
(0.019214, 0.188334)
(-0.747258, -0.404155)
(0.229485, -0.401147)
(-0.288184, -0.289353)
(-0.726964, -0.750491)
(0.733438, 0.0846569)
(-0.195293, 0.075421)
(-0.947522, -0.165941)
(0.747049, 0.901713)
(0.42247, -0.247468)
(-0.109399, 0.426261)
(0.586408, 0.66393)
(-0.75097, -0.079183)
(-0.833032, -0.0894937)
(0.222829, 0.998642)
(0.876759, 0.541642)
(-0.298528, 0.33318)
(0.618467, 0.195261)
(0.374931, 0.109145)
(-0.547944, 0.470911)
(-0.234778, -0.630544)
(0.72608, 0.276486)
(-0.445995, 0.332716)
(0.0500611, -0.268777)
(-0.425769, -0.811228)
(0.522878, -0.4345)
(0.855529, 0.746195)
(-0.913174, 0.578815)
(0.395075, 0.0924269)
(0.654022, 0.729423)
(0.28472, 0.0195977)
(-0.829962, -0.0574795)
(0.022742, 0.0535203)
(0.127249, 0.350117)
(-0.109536, 0.176591)
(-0.470719, 0.748465)
(0.374708, 0.00635362)
(-0.337886, -0.132776)
(-0.399175, -0.725243)
(-0.548635, -0.274137)
(0.463563, -0.402373)
(-0.0584373, -0.623036)
(0.988319, -0.722198)
(0.0286395, 0.968059)
(-0.677141, -0.832125)
(0.54843, 0.922209)
(0.664552, -0.914211)
(0.543203, 0.169035)
(-0.753488, -0.962918)
(0.364242, -0.996161)
(0.250418, -0.235789)
(-0.13602, -0.593989)
(-0.239398, 0.719831)
(-0.127261, -0.236302)
(-0.733073, -0.0636039)
(-0.986461, 0.793669)
(-0.381376, 0.480694)
(-0.707934, -0.280578)
(0.142533, -0.137006)
(0.00424065, 0.415097)
(-0.638582, -0.480325)
(-0.81402, 0.725087)
(0.175074, -0.326753)
(0.665583, 0.17559)
(0.387668, -0.749622)
(-0.640465, 0.372723)
(-0.317713, 0.504374)
(-0.752155, -0.496328)
(0.149841, 0.700929)
(0.451495, 0.370995)
(0.672692, -0.876567)
(-0.7475, -0.339973)
(0.192535, -0.911323)
(0.688407, -0.355635)
(-0.133947, 0.857455)
(-0.422626, 0.88228)
(-0.625163, -0.854277)
(0.239949, 0.0919847)
(0.584652, 0.0693922)
(-0.38681, 0.74164)
(-0.829336, -0.318545)
(-0.383802, 0.719577)
(-0.609848, -0.845025)
(0.598626, 0.121727)
(-0.0782634, 0.499288)
(0.575782, -0.820072)
(0.434263, 0.60898)
(0.521521, 0.319064)
(0.767116, 0.454284)
(0.635167, -0.398252)
(0.36788, 0.806545)
(0.0859776, -0.87398)
(-0.175048, -0.61911)
(-0.495119, -0.0187227)
(-0.00632264, -0.126717)
(-0.996422, 0.0747676)
(0.817025, -0.947475)
(-0.97153, 0.33076)
(0.657267, 0.144206)
(0.0465689, -0.624866)
(0.269771, -0.746102)
(-0.601717, -0.870528)
(-0.374725, 0.940003)

Длина вектора: 150 элементов
(0.125184, 0.811273)
(0.404444, 0.245711)
(-0.619476, -0.608079)
(0.318334, 0.909802)
(0.14522, -0.95098)
(0.413802, 0.639265)
(-0.978993, -0.803122)
(-0.85467, 0.255678)
(-0.592768, 0.31343)
(0.80079, -0.403715)
(-0.141382, -0.61572)
(0.844693, 0.471157)
(-0.914256, 0.257844)
(-0.804797, 0.497658)
(-0.504764, -0.289946)
(0.926178, 0.459316)
(0.427833, -0.0227722)
(-0.554831, -0.963063)
(-0.569887, 0.46024)
(-0.677614, -0.725177)
(-0.439888, -0.832174)
(0.213181, -0.121234)
(-0.886013, 0.0728934)
(-0.0426115, 0.0359472)
(0.198885, 0.93814)
(0.589768, 0.0756824)
(0.992485, -0.418875)
(0.721583, -0.0703484)
(-0.846903, 0.471947)
(0.852285, 0.476149)
(0.0731926, 0.12921)
(0.231201, -0.081556)
(-0.954797, -0.288078)
(0.201454, 0.129204)
(0.0190004, -0.0551243)
(-0.678548, -0.308138)
(-0.24063, 0.0757825)
(0.668845, 0.471527)
(0.204721, -0.36617)
(-0.558593, -0.772465)
(-0.588698, -0.390666)
(-0.193395, -0.612556)
(-0.708508, -0.323722)
(0.980823, 0.442615)
(-0.390955, 0.0372726)
(-0.584022, 0.345119)
(-0.813025, 0.303187)
(0.634358, 0.976045)
(-0.868126, 0.625229)
(-0.498654, 0.976159)
(-0.399703, 0.254591)
(-0.446499, -0.731289)
(0.999294, 0.541002)
(0.539648, -0.28916)
(0.0451959, 0.685981)
(0.953307, -0.436415)
(0.374703, 0.847327)
(0.273941, -0.513972)
(0.0970442, 0.912925)
(-0.421851, -0.322505)
(-0.144617, 0.023888)
(-0.467777, 0.146269)
(0.848704, -0.751296)
(-0.758131, 0.319072)
(-0.754985, -0.752698)
(-0.538984, -0.172453)
(0.334143, 0.388302)
(0.429869, -0.348989)
(-0.205378, -0.0117112)
(0.722734, -0.775934)
(-0.415188, 0.302518)
(-0.112859, -0.92)
(0.429915, -0.570004)
(-0.913836, 0.438029)
(-0.604623, 0.771566)
(-0.38417, -0.370386)
(0.997477, 0.956092)
(0.399889, 0.941892)
(-0.0625631, 0.559023)
(0.2388, -0.00759408)
(0.666602, -0.205299)
(0.457207, 0.825101)
(-0.848822, 0.262185)
(-0.604937, -0.816629)
(-0.729335, 0.830125)
(-0.553671, -0.315074)
(0.954413, 0.2074)
(0.694563, -0.210652)
(0.764594, -0.748468)
(-0.352899, 0.128329)
(0.78908, 0.658243)
(-0.595192, 0.468833)
(0.856938, 0.878256)
(-0.415244, 0.407334)
(0.911446, -0.148901)
(-0.856627, 0.253238)
(-0.536068, -0.925961)
(-0.248225, -0.000750607)
(-0.346305, 0.0687862)
(-0.161843, 0.203591)
(-0.467143, 0.193559)
(0.907891, 0.812125)
(0.573178, -0.514452)
(-0.275764, 0.311023)
(0.704026, 0.0649432)
(-0.232694, 0.982329)
(-0.318789, 0.621384)
(-0.53537, 0.391817)
(0.795654, 0.0373837)
(0.713881, 0.684026)
(0.148021, -0.582771)
(-0.690316, -0.837494)
(-0.186299, -0.451937)
(0.768048, -0.165878)
(-0.345285, -0.378694)
(-0.456933, -0.242017)
(-0.255054, -0.276471)
(-0.939835, 0.687933)
(0.589513, 0.842416)
(-0.880404, -0.525532)
(0.416154, 0.516425)
(0.592137, 0.986543)
(0.949297, 0.0424561)
(-0.14471, -0.0263861)
(0.263201, 0.541314)
(0.855004, -0.751781)
(0.0618998, 0.275261)
(-0.877001, -0.90496)
(0.497946, -0.0551541)
(-0.876609, -0.247243)
(0.90142, 0.693148)
(0.245821, 0.035559)
(0.363558, -0.177599)
(0.276651, 0.820212)
(0.388116, -0.595529)
(-0.694553, -0.130323)
(-0.785864, 0.21147)
(-0.64749, -0.601348)
(-0.809906, -0.711596)
(-0.141539, -0.214671)
(-0.551543, -0.155949)
(0.0700999, 0.734965)
(0.472081, -0.885103)
(0.253367, 0.364262)
(-0.396109, -0.595947)
(0.111033, 0.304438)
(0.237215, -0.44973)
(0.907821, -0.918381)
(0.888874, 0.227572)
(0.757373, 0.75467)

Длина вектора: 300 элементов
(-0.17111, -0.89622)
(-0.341007, -0.969285)
(0.207776, -0.0678074)
(0.674685, 0.710845)
(-0.563485, -0.388849)
(-0.37326, 0.108309)
(0.987792, -0.0896322)
(0.66729, -0.325016)
(-0.93585, 0.817174)
(-0.00289509, 0.781658)
(-0.883434, 0.932761)
(-0.702885, 0.452836)
(-0.234735, -0.680595)
(-0.143141, -0.078862)
(0.0446659, -0.735316)
(0.487042, 0.343783)
(0.464327, 0.770289)
(0.440152, 0.0188865)
(0.61253, 0.0738)
(0.00548906, 0.654781)
(0.670139, -0.782153)
(0.146879, -0.321089)
(-0.120427, 0.109785)
(0.263594, -0.371353)
(0.433361, -0.756734)
(0.329309, -0.515473)
(-0.128877, -0.683355)
(-0.743777, 0.983246)
(-0.0555063, 0.415694)
(0.929599, -0.703189)
(0.0714016, -0.778525)
(-0.972117, -0.53268)
(-0.938664, -0.574119)
(0.615811, -0.554903)
(-0.584612, -0.120446)
(-0.657296, 0.300115)
(0.560612, 0.498388)
(0.227242, 0.458725)
(-0.386942, 0.199712)
(0.53419, -0.666598)
(0.800846, -0.312405)
(0.565255, 0.623695)
(-0.865869, 0.788002)
(0.189657, -0.197013)
(0.0901465, 0.574984)
(-0.399647, -0.322133)
(0.527198, -0.231243)
(-0.844535, 0.788267)
(-0.828737, 0.281762)
(-0.387863, -0.0537682)
(0.786013, -0.248536)
(0.156319, -0.569825)
(0.0523799, -0.198125)
(-0.351108, -0.54802)
(0.340771, 0.999559)
(0.448351, -0.72022)
(0.393441, -0.983946)
(-0.638945, 0.900272)
(0.787272, 0.680086)
(-0.883899, -0.136409)
(-0.281067, 0.876056)
(0.253538, 0.342099)
(-0.27007, -0.01603)
(0.610683, 0.647902)
(-0.986739, 0.38559)
(-0.693202, 0.576748)
(0.574312, -0.744814)
(0.502645, 0.634079)
(-0.317385, 0.91579)
(-0.0639184, 0.67323)
(-0.415804, -0.453502)
(0.020345, -0.397604)
(0.21127, -0.205326)
(-0.255953, -0.295884)
(0.104743, 0.758177)
(-0.958833, 0.820876)
(0.456425, -0.582094)
(0.395611, -0.0611593)
(-0.750585, -0.045417)
(-0.437219, 0.666527)
(-0.365864, 0.450083)
(-0.461812, -0.908032)
(-0.934953, -0.160267)
(0.363523, -0.0399783)
(-0.239474, 0.872709)
(-0.35051, -0.507022)
(-0.588506, 0.478901)
(-0.417417, -0.773375)
(-0.243434, -0.00174985)
(0.617026, -0.855903)
(0.914903, 0.421364)
(0.639343, 0.388827)
(0.062074, -0.275562)
(-0.163368, 0.381336)
(0.980054, 0.531575)
(0.428881, -0.713174)
(0.544493, -0.576259)
(0.934618, -0.551259)
(-0.728317, -0.121151)
(0.41885, 0.611245)
(0.38268, 0.114249)
(0.545871, 0.672376)
(0.0392981, 0.808907)
(-0.988879, -0.918179)
(-0.929955, 0.528245)
(0.851476, -0.688455)
(0.497152, 0.423511)
(0.446512, 0.249632)
(-0.0401729, 0.271788)
(-0.382549, -0.96974)
(0.772845, -0.33705)
(-0.066092, -0.987843)
(-0.502943, 0.852936)
(0.616102, 0.51596)
(-0.0034291, -0.226427)
(0.507627, 0.640154)
(0.871555, -0.206235)
(-0.451217, -0.410123)
(0.45204, 0.267227)
(0.203117, -0.400789)
(-0.48336, -0.509336)
(0.709949, -0.427854)
(0.574538, -0.431909)
(-0.962378, 0.0187642)
(0.529512, 0.497004)
(0.862404, -0.371626)
(0.350448, 0.704179)
(-0.728947, 0.872087)
(0.25775, -0.456709)
(-0.161939, -0.645005)
(0.0577141, 0.00509617)
(-0.716595, 0.889133)
(0.976955, 0.433414)
(-0.945113, 0.507003)
(-0.648529, 0.541415)
(-0.319609, 0.127641)
(-0.237489, -0.469948)
(-0.75382, 0.102885)
(-0.929557, 0.0714806)
(-0.0406308, -0.608682)
(-0.356437, -0.557607)
(-0.279008, 0.952562)
(-0.15667, 0.696561)
(0.898796, -0.128085)
(0.17997, -0.333358)
(0.204228, 0.651433)
(0.676345, -0.808264)
(0.449472, 0.0086761)
(0.906169, 0.343491)
(-0.139478, 0.145315)
(0.519169, 0.0148296)
(-0.100605, 0.911861)
(0.35043, 0.839513)
(-0.554541, 0.649006)
(0.668051, 0.576115)
(0.215495, -0.0535679)
(0.268666, -0.0887588)
(0.0686605, 0.381642)
(0.104624, 0.778253)
(-0.63187, 0.215027)
(-0.0292507, 0.00786095)
(-0.0789376, -0.682057)
(-0.775851, -0.917207)
(0.051454, 0.88174)
(0.617222, 0.0731612)
(-0.637051, 0.634494)
(-0.472552, -0.375544)
(-0.719409, 0.0791727)
(-0.256514, 0.789524)
(-0.0476583, 0.612664)
(0.883531, 0.932078)
(0.438707, -0.252676)
(-0.198982, 0.687189)
(-0.425495, 0.216033)
(0.193928, -0.187566)
(0.941081, -0.410016)
(0.189554, -0.0992205)
(-0.510083, 0.651529)
(0.369772, -0.312993)
(0.0361034, -0.499352)
(-0.780249, 0.693976)
(-0.0360186, -0.301216)
(-0.463378, 0.738561)
(-0.191846, -0.578426)
(-0.873689, -0.585031)
(-0.391724, 0.757205)
(-0.562018, -0.199415)
(0.136106, 0.229995)
(-0.663895, -0.699954)
(-0.0953491, 0.20014)
(0.967363, 0.15889)
(0.0967897, -0.437707)
(-0.398517, 0.328419)
(-0.143574, -0.122158)
(-0.926385, 0.560688)
(0.747333, 0.932058)
(-0.371444, -0.563308)
(0.689298, -0.214406)
(-0.351798, 0.579646)
(-0.294557, -0.892866)
(-0.229509, 0.601202)
(0.0645045, 0.939908)
(0.515839, -0.735168)
(0.949896, 0.676667)
(0.177389, -0.61903)
(-0.490929, 0.139147)
(0.417829, 0.0610616)
(-0.95652, 0.0400105)
(-0.144809, -0.291301)
(0.0725164, 0.398636)
(0.516215, -0.480657)
(0.723452, 0.336574)
(0.553696, 0.616085)
(-0.838558, -0.295852)
(0.0951998, 0.197838)
(-0.534364, 0.764407)
(-0.530367, 0.839488)
(0.761993, -0.405239)
(-0.687014, -0.810496)
(0.7206, -0.598849)
(0.159606, -0.145036)
(0.931888, 0.229588)
(-0.865406, 0.787033)
(0.824672, -0.304211)
(0.305266, 0.344796)
(0.141182, -0.882067)
(-0.619499, -0.671192)
(0.695555, 0.194787)
(-0.892185, -0.369134)
(-0.190029, -0.320276)
(-0.863356, -0.389979)
(-0.447818, 0.126641)
(0.28045, -0.598464)
(-0.99198, 0.214252)
(0.480481, -0.897092)
(0.448355, -0.908321)
(-0.170968, -0.864154)
(-0.813753, 0.988765)
(-0.196452, -0.71023)
(-0.814905, 0.969264)
(0.142802, -0.617448)
(0.637315, -0.130783)
(0.135517, 0.386716)
(-0.921675, 0.0719699)
(-0.306799, -0.818193)
(-0.484303, -0.97869)
(0.330666, 0.931725)
(-0.565158, 0.979513)
(0.446916, 0.865523)
(0.368127, 0.9466)
(0.67052, 0.00395455)
(0.548577, 0.31584)
(0.155394, -0.485034)
(0.553867, -0.174021)
(-0.156492, -0.789709)
(0.666292, 0.264291)
(0.714985, -0.383421)
(0.632392, 0.797883)
(-0.769338, -0.0614356)
(-0.318674, 0.335706)
(0.417795, -0.298779)
(-0.953101, -0.682707)
(0.280702, -0.510345)
(0.612446, 0.137714)
(-0.0549976, 0.352649)
(0.923894, 0.985444)
(0.894573, 0.555804)
(-0.558694, 0.82379)
(0.422313, 0.0215636)
(0.024629, -0.402308)
(0.205344, -0.911963)
(0.861907, -0.96892)
(-0.954458, 0.863756)
(-0.878326, 0.268114)
(0.701578, 0.433873)
(-0.554166, -0.7536)
(-0.816, 0.255315)
(-0.999921, 0.184505)
(-0.131638, -0.499383)
(0.591677, -0.252172)
(-0.742874, 0.871636)
(-0.92893, -0.805119)
(0.107243, -0.449711)
(-0.784288, -0.137434)
(0.262165, -0.10334)
(-0.0133582, 0.321785)
(0.30147, -0.789002)
(0.352372, 0.808072)
(0.500844, -0.639004)
(-0.971983, -0.958589)
(0.915949, -0.432027)
(0.571928, 0.442274)
(0.566505, 0.82329)
(0.527335, 0.120508)
(0.722661, 0.603164)
(0.117967, -0.40652)
(-0.241851, -0.834627)
(-0.103829, -0.462581)
(-0.0840305, 0.192962)
(-0.507855, 0.555327)

Длина вектора: 240 элементов
(0.342127, -0.836236)
(-0.489447, 0.519088)
(-0.807829, 0.797001)
(0.623334, 0.300976)
(0.136172, 0.281106)
(-0.821888, 0.496903)
(0.979338, 0.893756)
(0.332869, -0.367053)
(-0.309774, 0.554462)
(-0.262123, -0.756272)
(-0.898146, 0.0306018)
(-0.676, -0.666657)
(0.4931, -0.23908)
(0.01164, 0.145161)
(-0.564577, 0.989571)
(0.225509, 0.72559)
(-0.323548, 0.457371)
(0.720996, -0.164342)
(-0.0158132, 0.0410163)
(0.105386, 0.934758)
(-0.299303, -0.571392)
(-0.635283, 0.680157)
(0.0261263, -0.430114)
(-0.256208, -0.200723)
(-0.176412, -0.0609234)
(-0.97314, 0.625648)
(-0.769958, 0.33144)
(-0.68891, 0.918557)
(0.427556, -0.114121)
(-0.418429, 0.578308)
(-0.0174196, -0.967461)
(0.328424, -0.28633)
(-0.407843, -0.564616)
(-0.722926, -0.698754)
(-0.893206, -0.911775)
(0.49559, 0.548785)
(-0.314316, 0.572178)
(0.806845, 0.779609)
(0.832516, -0.720354)
(-0.807377, 0.682769)
(-0.11209, 0.772877)
(-0.796899, -0.706632)
(-0.304644, 0.261344)
(0.791535, -0.574922)
(0.830802, -0.900125)
(-0.805587, 0.230223)
(0.223284, 0.58429)
(0.840658, 0.250794)
(-0.965263, 0.77306)
(0.0894193, 0.0389861)
(-0.0530851, -0.367963)
(-0.606628, 0.501542)
(0.746011, 0.966311)
(0.487802, 0.18651)
(-0.642663, 0.0828971)
